Question,Answer,Tags
1.21.6,N/A,gate1992  algorithms  recurrence-relation  descriptive
1.21.7,N/A,gate1993  algorithms  recurrence-relation  normal  descriptive
1.21.8,B,gate1994  algorithms  recurrence-relation  easy  isro2017
1.21.9,A,gate1996  algorithms  recurrence-relation  normal
1.21.10,N/A,gate1997  algorithms  recurrence-relation  descriptive
1.21.11,B,gate1997  algorithms  recurrence-relation  normal
1.21.12,N/A,
1.21.13,B,gatecse-2002  algorithms  recurrence-relation  normal
1.21.14,C,gatecse-2002  algorithms  recurrence-relation  normal
1.21.15,B,gatecse-2003  algorithms  time-complexity  recurrence-relation  difficult
1.21.16,D,gatecse-2004  algorithms  recurrence-relation  time-complexity  normal  isro2015
1.21.17,A,gatecse-2004  algorithms  recurrence-relation  normal
1.21.18,B,algorithms  recurrence-relation  isro2016  gatecse-2006
1.21.19,D,gatecse-2008  algorithms  recurrence-relation  normal
1.21.20,X,gatecse-2008  algorithms  recurrence-relation  normal
1.21.21,A,gatecse-2009  algorithms  recurrence-relation  time-complexity  normal
1.21.22,D,gatecse-2012  algorithms  easy  recurrence-relation
1.21.23,A,gatecse-2014-set2  algorithms  recurrence-relation  normal
1.21.24,A,gatecse-2015-set1  algorithms  recurrence-relation  normal
1.21.25,B,gatecse-2015-set3  algorithms  recurrence-relation  normal
1.21.26,2.32 : 2.33,gatecse-2016-set2  algorithms  time-complexity  recurrence-relation  normal  numerical-answers
1.21.27,B,gatecse-2017-set2  algorithms  recurrence-relation
1.21.28,A,gatecse-2020  algorithms  recurrence-relation  1-mark
1.21.29,C,gatecse-2021-set1  algorithms  recurrence-relation  time-complexity  2-marks
1.21.30,C,gatecse-2021-set2  algorithms  recurrence-relation  2-marks
1.21.31,A,gatecse2024-set1  algorithms  recurrence-relation
1.21.32,B,gateit-2004  algorithms  recurrence-relation  normal  match-the-following
1.21.33,C,gateit-2005  algorithms  recurrence-relation  easy
1.21.34,A,gateit-2008  algorithms  recurrence-relation  normal
1.22.1,C,gate1995  algorithms  normal  recursion
1.22.2,A,gatecse-2007  algorithms  recursion  time-complexity  normal
1.22.3,10230,gatecse-2018  numerical-answers  algorithms  recursion  2-marks
1.22.4,60 : 60,gatecse-2021-set2  algorithms  recursion  output  numerical-answers  2-marks
1.23.1,N/A,gate1996  algorithms  searching  normal  descriptive
1.23.2,C,gate1996  algorithms  easy  isro2016  searching
1.23.3,A,gatecse-2002  searching  normal
1.23.4,C,gatecse-2008  algorithms  searching  normal
1.23.5,A,gatecse-2008  algorithms  searching  normal
1.23.6,5,gatecse-2017-set1  algorithms  normal  numerical-answers  searching
1.24.1,N/A,gatecse-2002  algorithms  graph-algorithms  time-complexity  normal  descriptive  shortest-path
1.24.2,B,gatecse-2003  algorithms  graph-algorithms  normal  shortest-path
1.24.3,D,gatecse-2007  algorithms  graph-algorithms  easy  shortest-path
1.24.4,A,gatecse-2020  algorithms  graph-algorithms  2-marks  shortest-path
1.24.5,C,
1.25.1,N/A,gate1988  algorithms  sorting  fill-in-the-blanks  easy
1.25.2,A,gate1990  normal  algorithms  sorting  easy  time-complexity  multiple-selects
1.25.3,7,gate1991  normal  algorithms  sorting  numerical-answers
1.25.4,N/A,gate1991  sorting  time-complexity  algorithms  difficult  descriptive
1.25.5,D,gate1992  easy  algorithms  sorting  multiple-selects
1.25.6,N/A,gate1995  algorithms  sorting  easy  descriptive  bubble-sort
1.25.7,N/A,gate1996  algorithms  sorting  normal  descriptive
1.25.8,B,gate1998  algorithms  sorting  easy  match-the-following
1.25.9,B,gate1999  algorithms  sorting  easy
1.25.10,N/A,gate1999  algorithms  sorting  normal  descriptive
1.25.11,N/A,gatecse-2000  algorithms  sorting  normal  descriptive
1.25.12,B,gatecse-2003  algorithms  sorting  inversion  normal
1.25.13,A,gatecse-2005  algorithms  sorting  normal
1.25.14,C,gatecse-2006  algorithms  sorting  easy  isro2011
1.25.15,A,gatecse-2007  algorithms  sorting  time-complexity  easy
1.25.16,A,gatecse-2009  algorithms  sorting  easy  selection-sort
1.25.17,C,gatecse-2013  algorithms  sorting  normal  heap-sort
1.25.18,B,gatecse-2013  algorithms  sorting  easy  selection-sort
1.25.19,147.1 : 148.1,gatecse-2014-set1  algorithms  numerical-answers  normal  maximum-minimum  sorting
1.25.20,D,gatecse-2016-set1  algorithms  sorting  easy
1.25.21,D,gatecse-2016-set2  algorithms  sorting  time-complexity  normal  ambiguous
1.25.22,C,gatecse-2021-set1  algorithms  sorting  1-mark
1.25.23,D,gatecse2024-set1  algorithms  heap-sort  sorting
1.25.24,3,gatecse2024-set2  numerical-answers  algorithms  sorting
1.25.25,B,gate-ds-ai-2024  algorithms  sorting
1.25.26,C,gateit-2005  algorithms  sorting  normal
1.25.27,C,gateit-2008  algorithms  sorting  normal
1.26.1,B,gatecse-2005  algorithms  recursion  normal  space-complexity
1.27.1,C,gatecse-2008  algorithms  graph-algorithms  time-complexity  normal  strongly-connected-components
1.27.2,109,gatecse-2018  algorithms  graph-algorithms  numerical-answers  2-marks  strongly-connected-components
1.27.3,B,gateit-2006  algorithms  graph-algorithms  normal  strongly-connected-components
1.28.1,N/A,gate1988  normal  descriptive  algorithms  time-complexity
1.28.2,N/A,gate1989  match-the-following  algorithms  time-complexity
1.28.3,B;C;D;E,
1.28.4,D,gate1999  algorithms  time-complexity  normal
1.28.5,A,gate1999  algorithms  time-complexity  normal
1.28.6,N/A,gate1999  algorithms  time-complexity  normal  descriptive
1.28.7,A,gatecse-2000  easy  algorithms  time-complexity
1.28.8,C,gatecse-2003  algorithms  time-complexity  normal
1.28.9,D,gatecse-2004  algorithms  time-complexity  easy
1.28.10,C,gatecse-2004  algorithms  time-complexity  normal
1.28.11,C,gatecse-2006  algorithms  normal  time-complexity
1.28.12,D,gatecse-2007  algorithms  time-complexity  normal  isro2016
1.28.13,D,gatecse-2007  algorithms  time-complexity  normal
1.28.14,B,gatecse-2007  algorithms  time-complexity  easy
1.28.15,B,gatecse-2007  algorithms  time-complexity  normal
1.28.16,B,gatecse-2008  normal  algorithms  time-complexity
1.28.17,B,gatecse-2008  algorithms  time-complexity  normal
1.28.18,B,gatecse-2008  algorithms  time-complexity  normal
1.28.19,C,gatecse-2008  normal  algorithms  time-complexity
1.28.20,C,gatecse-2010  algorithms  time-complexity  easy
1.28.21,C,gatecse-2014-set1  algorithms  time-complexity  normal
1.28.22,A,gatecse-2015-set1  algorithms  data-structures  normal  time-complexity
1.28.23,D,gatecse-2015-set2  algorithms  time-complexity  easy
1.28.24,C,gatecse-2017-set2  algorithms  time-complexity  match-the-following  easy
1.28.25,C,gatecse-2017-set2  algorithms  time-complexity
1.28.26,C,gatecse-2019  algorithms  time-complexity  2-marks
1.28.27,A,gatecse2024-set1  algorithms  time-complexity
1.28.28,A,gateit-2007  algorithms  time-complexity  normal
1.28.29,B,gateit-2007  algorithms  time-complexity  normal
1.29.1,D,gatecse-2007  algorithms  graph-algorithms  topological-sort  easy
1.29.2,C,gatecse-2014-set1  graph-algorithms  easy  topological-sort
1.29.3,6,gatecse-2016-set1  algorithms  graph-algorithms  normal  numerical-answers  topological-sort
1.29.4,B;D,gate-ds-ai-2024  algorithms  topological-sort  directed-acyclic-graph
2.1.1,C,gate1987  co-and-architecture  addressing-modes  easy
2.1.2,N/A,gate1988  normal  descriptive  co-and-architecture  addressing-modes
2.1.3,N/A,gate1989  match-the-following  co-and-architecture  addressing-modes  easy
2.1.4,N/A,gate1993  co-and-architecture  addressing-modes  normal  descriptive
2.1.5,B,gate1996  co-and-architecture  addressing-modes  easy  isro2016
2.1.6,D,gate1998  co-and-architecture  addressing-modes  easy
2.1.7,A;B;C;D,gate1999  co-and-architecture  addressing-modes  normal  multiple-selects
2.1.8,C,gatecse-2000  co-and-architecture  easy  addressing-modes  match-the-following
2.1.9,A,gatecse-2001  co-and-architecture  addressing-modes  easy  match-the-following
2.1.10,B,gatecse-2002  co-and-architecture  addressing-modes  easy
2.1.11,C,gatecse-2004  co-and-architecture  addressing-modes  easy
2.1.12,B,gatecse-2005  co-and-architecture  addressing-modes  normal
2.1.13,C,gatecse-2005  co-and-architecture  addressing-modes  match-the-following  easy
2.1.14,C,gatecse-2008  addressing-modes  co-and-architecture  normal  isro2009
2.1.15,D,gatecse-2011  co-and-architecture  addressing-modes  easy
2.1.16,D,gatecse-2017-set1  co-and-architecture  addressing-modes
2.1.17,D,gateit-2006  co-and-architecture  addressing-modes  normal  isro2009
2.1.18,D,gateit-2006  co-and-architecture  addressing-modes  normal
2.2.1,A;B;C;D,gate1999  co-and-architecture  normal  cisc-risc-architecture  multiple-selects
2.2.2,D,gatecse-2018  co-and-architecture  cisc-risc-architecture  easy  1-mark
2.3.1,N/A,gate1987  co-and-architecture  cache-memory  descriptive
2.3.2,N/A,gate1989  descriptive  co-and-architecture  cache-memory
2.3.4,22,gate1990  descriptive  co-and-architecture  cache-memory
2.3.5,180,gate1992  co-and-architecture  cache-memory  normal  numerical-answers
2.3.6,N/A,gate1993  co-and-architecture  cache-memory  normal  descriptive
2.3.7,D,gate1995  co-and-architecture  cache-memory  easy
2.3.8,D,gate1995  co-and-architecture  cache-memory  normal
2.3.9,61.25,gate1996  co-and-architecture  cache-memory  normal
2.3.10,N/A,gate1998  co-and-architecture  cache-memory  descriptive
2.3.11,B,gate1999  co-and-architecture  cache-memory  normal
2.3.12,B,gatecse-2001  co-and-architecture  easy  cache-memory  isro2008
2.3.13,N/A,gatecse-2001  co-and-architecture  cache-memory  normal  descriptive
2.3.14,N/A,gatecse-2002  co-and-architecture  cache-memory  normal  descriptive
2.3.15,C,gatecse-2004  co-and-architecture  cache-memory  normal
2.3.16,A,gatecse-2005  co-and-architecture  cache-memory  easy
2.3.17,A,gatecse-2006  co-and-architecture  cache-memory  normal
2.3.18,D,gatecse-2006  co-and-architecture  cache-memory  normal
2.3.19,C,gatecse-2006  co-and-architecture  cache-memory  normal
2.3.20,B,co-and-architecture  cache-memory  normal  gatecse-2006
2.3.21,D,gatecse-2007  co-and-architecture  cache-memory  normal
2.3.22,C,gatecse-2007  co-and-architecture  cache-memory  normal
2.3.23,A,gatecse-2007  co-and-architecture  cache-memory  normal
2.3.24,A,gatecse-2008  co-and-architecture  cache-memory  normal
2.3.25,D,gatecse-2008  co-and-architecture  cache-memory  normal
2.3.26,B,gatecse-2008  co-and-architecture  cache-memory  normal
2.3.27,C,gatecse-2008  co-and-architecture  cache-memory  normal
2.3.28,D,gatecse-2009  co-and-architecture  cache-memory  normal
2.3.29,C,gatecse-2010  co-and-architecture  cache-memory  normal  barc2017
2.3.30,C,gatecse-2010  co-and-architecture  cache-memory  normal
2.3.31,D,gatecse-2011  co-and-architecture  cache-memory  normal
2.3.32,C,gatecse-2012  co-and-architecture  cache-memory  normal
2.3.33,A,normal  gatecse-2012  co-and-architecture  cache-memory
2.3.34,A,gatecse-2013  co-and-architecture  cache-memory  normal
2.3.35,A,gatecse-2014-set1  co-and-architecture  cache-memory  normal
2.3.36,D,gatecse-2014-set2  co-and-architecture  cache-memory  normal
2.3.37,D,gatecse-2014-set2  co-and-architecture  cache-memory  normal
2.3.38,20,gatecse-2014-set2  co-and-architecture  cache-memory  numerical-answers  normal
2.3.39,1.68,gatecse-2014-set3  co-and-architecture  cache-memory  numerical-answers  normal
2.3.40,14,gatecse-2015-set2  co-and-architecture  cache-memory  easy  numerical-answers
2.3.41,A,gatecse-2015-set3  co-and-architecture  cache-memory  normal
2.3.42,24,gatecse-2016-set2  co-and-architecture  cache-memory  normal  numerical-answers
2.3.43,30,gatecse-2016-set2  co-and-architecture  cache-memory  normal  numerical-answers
2.3.44,0.05,gatecse-2017-set1  co-and-architecture  cache-memory  numerical-answers
2.3.45,76,gatecse-2017-set1  co-and-architecture  cache-memory  conflict-misses  normal  numerical-answers
2.3.46,14,gatecse-2017-set1  co-and-architecture  cache-memory  normal  numerical-answers
2.3.47,A,gatecse-2017-set2  cache-memory  co-and-architecture  normal
2.3.48,4.7 : 4.8,gatecse-2017-set2  co-and-architecture  cache-memory  numerical-answers
2.3.49,18,gatecse-2017-set2  co-and-architecture  cache-memory  numerical-answers
2.3.50,B,gatecse-2018  co-and-architecture  cache-memory  normal  2-marks
2.3.51,D,gatecse-2019  co-and-architecture  cache-memory  normal  1-mark
